EntrezGeneID,EntrezGeneSymbol,UniProt
1,A1BG,P04217
2,A2M,P01023
9,NAT1,P18440
12,SERPINA3,P01011
16,AARS1,P49588
25,ABL1,P00519
26,AOC1,P19801
27,ABL2,P42684
28,ABO,P16442
29,ABR,Q12979
30,ACAA1,P09110
33,ACADL,P28330
34,ACADM,P11310
35,ACADS,P16219
36,ACADSB,P45954
37,ACADVL,P49748
38,ACAT1,P24752
39,ACAT2,Q9BWD1
43,ACHE,P22303
47,ACLY,P53396
48,ACO1,P21399
51,ACOX1,Q15067
52,ACP1,P24666
54,ACP5,P13686
55,ACP3,P15309
56,ACRV1,P26436
81,ACTN4,O43707
87,ACTN1,P12814
88,ACTN2,P35609
91,ACVR1B,P36896
92,ACVR2A,P27037
93,ACVR2B,Q13705
94,ACVRL1,P37023
95,ACY1,Q03154
97,ACYP1,P07311
98,ACYP2,P14621
101,ADAM8,P78325
102,ADAM10,O14672
116,ADCYAP1,P18509
119,ADD2,P35612
124,ADH1A,P07327
125,ADH1B,P00325
126,ADH1C,P00326
127,ADH4,P08319
128,ADH5,P11766
130,ADH6,P28332
131,ADH7,P40394
132,ADK,P55263
133,ADM,P35318
141,ADPRH,P54922
142,PARP1,P09874
156,GRK2,P25098
158,ADSL,P30566
159,ADSS2,P30520
161,AP2A2,O94973
162,AP1B1,Q10567
163,AP2B1,P63010
166,TLE5,Q08117
173,AFM,P43652
174,AFP,P02771
175,AGA,P20933
176,ACAN,P16112
177,AGER,Q15109
181,AGRP,O00253
182,JAG1,P78504
183,AGT,P01019
189,AGXT,P21549
191,AHCY,P23526
197,AHSG,P02765
199,AIF1,P55008
203,AK1,P00568
204,AK2,P54819
205,AK4,P27144
207,AKT1,P31749
208,AKT2,P31751
210,ALAD,P13716
213,ALB,P02768
214,ALCAM,Q13740
216,ALDH1A1,P00352
217,ALDH2,P05091
218,ALDH3A1,P30838
219,ALDH1B1,P30837
220,ALDH1A3,P47895
221,ALDH3B1,P43353
226,ALDOA,P04075
229,ALDOB,P05062
230,ALDOC,P09972
231,AKR1B1,P15121
238,ALK,Q9UM73
240,ALOX5,P09917
247,ALOX15B,O15296
248,ALPI,P09923
249,ALPL,P05186
250,ALPP,P05187
251,ALPG,P10696
259,AMBP,P02760
268,AMH,P03971
271,AMPD2,Q01433
273,AMPH,P49418
274,BIN1,O00499
275,AMT,P48728
276,AMY1A,P04745
279,AMY2A,P04746
280,AMY2B,P19961
283,ANG,P03950
284,ANGPT1,Q15389
285,ANGPT2,O15123
287,ANK2,Q01484
290,ANPEP,P15144
301,ANXA1,P04083
302,ANXA2,P07355
306,ANXA3,P12429
307,ANXA4,P09525
308,ANXA5,P08758
310,ANXA7,P20073
311,ANXA11,P50995
312,ANXA13,P27216
314,AOC2,O75106
317,APAF1,O14727
318,NUDT2,P50583
319,APOF,Q13790
322,APBB1,O00213
323,APBB2,Q92870
325,APCS,P02743
328,APEX1,P27695
329,BIRC2,Q13490
330,BIRC3,Q13489
332,BIRC5,O15392
333,APLP1,P51693
334,APLP2,Q06481
335,APOA1,P02647
336,APOA2,P02652
337,APOA4,P06727
338,APOB,P04114
341,APOC1,P02654
344,APOC2,P02655
345,APOC3,P02656
347,APOD,P05090
348,APOE,P02649
350,APOH,P02749
351,APP,P05067
353,APRT,P07741
354,KLK3,P07288
355,FAS,P25445
356,FASLG,P48023
361,AQP4,P55087
368,ABCC6,O95255
369,ARAF,P10398
374,AREG,P15514
375,ARF1,P84077
377,ARF3,P61204
378,ARF4,P18085
379,ARL4D,P49703
381,ARF5,P84085
382,ARF6,P62330
384,ARG2,P78540
387,RHOA,P61586
388,RHOB,P62745
389,RHOC,P08134
390,RND3,P61587
391,RHOG,P84095
392,ARHGAP1,Q07960
394,ARHGAP5,Q13017
395,ARHGAP6,O43182
396,ARHGDIA,P52565
397,ARHGDIB,P52566
400,ARL1,P40616
402,ARL2,P36404
403,ARL3,P36405
405,ARNT,P27540
408,ARRB1,P49407
410,ARSA,P15289
411,ARSB,P15848
419,ART3,Q13508
420,ART4,Q93070
427,ASAH1,Q13510
432,ASGR1,P07306
433,ASGR2,P07307
434,ASIP,P42127
435,ASL,P04424
439,GET3,O43681
443,ASPA,P45381
444,ASPH,Q12797
462,SERPINC1,P01008
466,ATF1,P18846
467,ATF3,P18847
471,ATIC,P31939
474,ATOH1,Q92858
475,ATOX1,O00244
481,ATP1B1,P05026
482,ATP1B2,P14415
486,FXYD2,P54710
489,ATP2A3,Q93084
496,ATP4B,P51164
501,ALDH7A1,P49419
506,ATP5F1B,P06576
515,ATP5PB,P24539
522,ATP5PF,P18859
528,ATP6V1C1,P21283
539,ATP5PO,P48047
549,AUH,Q13825
563,AZGP1,P25311
566,AZU1,P20160
567,B2M,P61769
