Module,SOMAmer,SYMBOL,ENTREZID
green,X10000.28,CRYBB2,1415
green,X10001.7,RAF1,5894
green,X10008.43,GUCA1A,2978
green,X10025.1,DLD,1738
green,X10030.8,MUTYH,4595
green,X10035.6,DUSP4,1846
green,X10037.98,SIGLEC12,89858
green,X10046.55,BIRC2,329
green,X10054.3,GAN,8139
green,X10064.12,RBBP9,10741
green,X10082.251,NEFL,4747
green,X10085.25,STAR,6770
green,X10086.39,CBS,875
green,X10339.48,ENO2,2026
green,X10351.51,IRF1,3659
green,X10362.35,MYC,4609
green,X10366.11,PDGFRA,5156
green,X10396.6,MCL1,4170
green,X10418.36,STX12,23673
green,X10428.1,KIR2DS2,100132285
green,X10432.3,SHISAL1,85352
green,X10438.19,CSF2RA,1438
green,X10439.57,AMY2B,280
green,X10440.26,CLMP,79827
green,X10442.1,TMEM190,147744
green,X10451.11,NUCB1,4924
green,X10454.99,DNAJC16,23341
green,X10463.23,ALPI,248
green,X10464.6,ANTXR1,84168
green,X10472.53,TNFRSF14,8764
green,X10479.18,MMP10,4319
green,X10480.33,CD59,966
green,X10490.3,RPN1,6184
green,X10499.1,TMEM106A,113277
green,X10512.13,CSF2RB,1439
green,X10513.13,KCNIP3,30818
green,X10530.8,PSMB6,5694
green,X10546.2,TSPEAR,54084
green,X10553.8,TOR1AIP2,163590
green,X10558.26,PCDH9,5101
green,X10562.42,NETO2,81831
green,X10565.19,SLITRK3,22865
green,X10569.28,MFAP2,4237
green,X10571.14,MGAT1,4245
green,X10572.65,CST8,10047
green,X10574.10,B2M,567
green,X10575.31,PUF60,22827
green,X10576.7,PLXDC2,84898
green,X10580.14,SFTA2,389376
green,X10582.36,POMK,84197
green,X10584.7,NDUFS4,4724
green,X10589.7,RAET1L,154064
green,X10605.22,APMAP,57136
green,X10606.34,TOR1AIP1,26092
green,X10608.9,HTN1,3346
green,X10612.18,PLOD3,8985
green,X10613.33,GOLM2,113201
green,X10615.18,MPZ,4359
green,X10618.190,LRP2,4036
green,X10623.19,MUC1,4582
green,X10624.45,SPINK13,153218
green,X10626.116,ST6GALNAC3,256435
green,X10627.87,APLP2,334
green,X10637.50,ELAPOR1,57535
green,X10638.1,TINF2,26277
green,X10693.43,KLRG2,346689
green,X10695.12,WFDC10B,280664
green,X10700.10,IGSF11,152404
green,X10708.3,GNRH2,2797
green,X10710.23,ZPBP2,124626
green,X10713.151,CD300LB,124599
green,X10714.7,ACE,1636
green,X10716.35,PSMD5,5711
green,X10722.13,SYK,6850
green,X10737.96,SERPINB1,1992
green,X10738.11,FBLN5,10516
green,X10741.22,CSF1,1435
green,X10746.24,DKK3,27122
green,X10748.216,PCDHB2,56133
green,X10756.34,UCN3,114131
green,X10760.107,GRIA4,2893
green,X10761.5,TMED2,10959
green,X10781.19,CLEC4G,339390
green,X10785.8,LRRC52,440699
green,X10801.11,EFNA2,1943
green,X10809.14,KLRB1,3820
green,X10818.36,SMPD1,6609
green,X10825.12,VSIG10,54621
green,X10827.67,LINGO3,645191
green,X10832.24,B4GALT6,9331
green,X10833.64,HHIP,64399
green,X10835.25,A4GNT,51146
green,X10851.77,EBI3,10148
green,X10870.32,SPAST,6683
green,X10876.300,BRAT1,221927
green,X10880.38,FAM163B,642968
green,X10882.12,DSC1,1823
green,X10885.36,C6orf89,221477
green,X10889.2,MRAP2,112609
green,X10892.8,OSMR,9180
green,X10900.272,STMN2,11075
green,X10903.50,STX8,9482
green,X10907.116,NTM,50863
green,X10908.2,GALNT13,114805
green,X10916.44,PLA2R1,22925
green,X10924.258,CYB5D2,124936
green,X10938.13,CD58,965
green,X10945.11,STX6,10228
green,X10948.14,PLD3,23646
green,X10949.59,RPLP2,6181
green,X10953.14,CLEC2A,387836
green,X10966.1,AHSG,197
green,X10970.3,ART3,419
green,X10977.55,UCMA,221044
green,X10980.11,ACHE,43
green,X10981.56,NRG3,10718
green,X11067.13,BGLAP,632
green,X11083.23,ENO2,2026
green,X11101.18,TLR4,7099
green,X11104.13,CHI3L1,1116
green,X11109.56,SVEP1,79987
green,X11116.16,C11orf87,399947
green,X11121.56,VWC2,375567
green,X11122.97,SPG21,51324
green,X11126.102,TRIO,7204
green,X11128.29,TMEM132C,92293
green,X11130.158,CACNB4,785
green,X11142.11,ANGPTL1,9068
green,X11143.32,OLFM3,118427
green,X11145.72,KIAA1549L,25758
green,X11150.3,COL6A1,1291
green,X11155.16,COL6A5,256076
green,X11159.14,MUL1,79594
green,X11160.56,RNF122,79845
green,X11161.5,SPART,23111
green,X11168.3,MEGF10,84466
green,X11173.29,MILR1,284021
green,X11174.8,THSD7A,221981
green,X11178.21,SVEP1,79987
green,X11184.51,CHGA,1113
green,X11192.168,TINAGL1,64129
green,X11193.27,HNF1A,6927
green,X11194.6,SIT1,27240
green,X11205.10,ITGB7,3695
green,X11208.15,NAGPA,51172
green,X11212.7,TXNDC5,81567
green,X11214.40,DNAJB9,4189
green,X11227.31,TBL2,26608
green,X11229.16,ERN1,2081
green,X11231.12,FDX2,112812
green,X11243.90,ADGRF1,266977
green,X11247.20,NAGS,162417
green,X11248.43,UROS,7390
green,X11252.30,LRCH4,4034
green,X11257.1,QDPR,5860
green,X11258.41,MADCAM1,8174
green,X11260.47,SUN5,140732
green,X11262.39,TRABD,80305
green,X11264.33,XDH,7498
green,X11265.8,ALDH1A1,216
green,X11266.8,SELPLG,6404
green,X11270.17,CHCHD10,400916
green,X11273.176,GSTT2B,653689
green,X11277.23,ATF6,22926
green,X11279.42,GABBR1,2550
green,X11280.6,GAD1,2571
green,X11282.16,MSR1,4481
green,X11287.14,CYB5A,1528
green,X11289.31,CSNK1D,1453
green,X11293.14,LRRN1,57633
green,X11297.54,NOTCH2,4853
green,X11302.237,TNR,7143
green,X11303.7,SAMHD1,25939
green,X11308.8,CREB3L4,148327
green,X11320.29,CHFR,55743
green,X11325.8,BTG2,7832
green,X11330.15,CSNK2B,1460
green,X11338.49,BLK,640
green,X11348.132,P4HA2,8974
green,X11365.17,TENM4,26011
green,X11368.32,AK2,204
green,X11372.2,ZNF18,7566
green,X11375.49,FOXL2,668
green,X11381.56,PRPS1,5631
green,X11387.3,ATF6B,1388
green,X11388.75,WFDC2,10406
green,X11390.24,CA8,767
green,X11401.181,RNF146,81847
green,X11406.82,ACAD8,27034
green,X11422.2,DLX3,1747
green,X11424.4,FAH,2184
green,X11425.31,RUFY1,80230
green,X11433.11,TCTN2,79867
green,X11438.6,DNAJB2,3300
green,X11450.110,P4HB,5034
green,X11457.53,GALE,2582
green,X11462.8,RBFOX2,23543
green,X11464.9,RELB,5971
green,X11465.4,GPR135,64582
green,X11476.43,VPS4A,27183
green,X11481.25,HAVCR2,84868
green,X11486.26,ZNF174,7727
green,X11487.4,SPOCK1,6695
green,X11490.42,UBL4A,8266
green,X11514.196,CD59,966
green,X11531.24,VSIR,64115
green,X11536.9,MYSM1,114803
green,X11546.7,CYGB,114757
green,X11548.84,CDC25A,993
green,X11557.3,SMURF1,57154
green,X11565.58,ZNF23,7571
green,X11571.75,KLRC3,3823
green,X11572.4,DNM2,1785
green,X11582.63,DNAJA2,10294
green,X11608.5,MAP1LC3B,81631
green,X11629.36,TRAF4,9618
green,X11633.89,AHSA1,10598
green,X11636.33,TAGLN2,8407
green,X11638.42,B3GALT2,8707
green,X11646.4,CHST9,83539
green,X11649.3,SMAP1,60682
green,X11656.110,EVL,51466
green,X11659.31,CLINT1,9685
green,X11666.72,RGS8,85397
green,X11678.105,GJD2,57369
green,X11683.19,GGA3,23163
green,X11699.16,PTP4A2,8073
green,X11716.28,LRIT2,340745
green,X11814.29,MET,4233
green,X11833.83,FXN,2395
green,X11836.144,DDR1,780
green,X11837.7,TNFRSF18,8784
green,X11838.130,PIEZO1,9780
green,X11910.27,DLX4,1748
green,X11926.23,AAGAB,79719
green,X11969.5,S100A2,6273
green,X11989.35,EMC1,23065
green,X12001.7,TJP1,7082
