"protein","na_count","na_frac","unique_values","drop"
"X10000.28",0,0,528,FALSE
"X10001.7",0,0,744,FALSE
"X10003.15",0,0,509,FALSE
"X10006.25",0,0,466,FALSE
"X10008.43",0,0,399,FALSE
"X10010.10",0,0,444,FALSE
"X10011.65",0,0,666,FALSE
"X10012.5",0,0,553,FALSE
"X10014.31",0,0,586,FALSE
"X10015.119",0,0,517,FALSE
"X10022.207",0,0,376,FALSE
"X10023.32",0,0,452,FALSE
"X10024.44",0,0,445,FALSE
"X10025.1",0,0,997,FALSE
"X10030.8",0,0,409,FALSE
"X10035.6",0,0,423,FALSE
"X10037.98",0,0,374,FALSE
"X10039.32",0,0,930,FALSE
"X10040.63",0,0,592,FALSE
"X10041.3",0,0,950,FALSE
"X10042.8",0,0,776,FALSE
"X10043.31",0,0,565,FALSE
"X10045.47",0,0,472,FALSE
"X10046.55",0,0,764,FALSE
"X10047.12",0,0,818,FALSE
"X10048.7",0,0,601,FALSE
"X10049.112",0,0,524,FALSE
"X10053.5",0,0,418,FALSE
"X10054.3",0,0,372,FALSE
"X10056.5",0,0,583,FALSE
"X10058.1",0,0,953,FALSE
"X10063.10",0,0,474,FALSE
"X10064.12",0,0,758,FALSE
"X10069.2",0,0,524,FALSE
"X10070.22",0,0,561,FALSE
"X10073.22",0,0,794,FALSE
"X10074.128",0,0,630,FALSE
"X10075.75",0,0,400,FALSE
"X10076.1",0,0,583,FALSE
"X10078.5",0,0,599,FALSE
"X10080.9",0,0,406,FALSE
"X10081.17",0,0,462,FALSE
"X10082.251",0,0,981,FALSE
"X10085.25",0,0,926,FALSE
"X10086.39",0,0,622,FALSE
"X10087.10",0,0,441,FALSE
"X10088.37",0,0,472,FALSE
"X10089.7",0,0,671,FALSE
"X10336.3",0,0,584,FALSE
"X10339.48",0,0,995,FALSE
"X10342.55",0,0,586,FALSE
"X10346.5",0,0,904,FALSE
"X10351.51",0,0,796,FALSE
"X10354.57",0,0,720,FALSE
"X10356.21",0,0,530,FALSE
"X10361.25",0,0,543,FALSE
"X10362.35",0,0,399,FALSE
"X10363.13",0,0,670,FALSE
"X10364.6",0,0,511,FALSE
"X10365.132",0,0,648,FALSE
"X10366.11",0,0,933,FALSE
"X10367.62",0,0,374,FALSE
"X10370.21",0,0,438,FALSE
"X10372.18",0,0,708,FALSE
"X10382.1",0,0,960,FALSE
"X10390.21",0,0,465,FALSE
"X10391.1",0,0,989,FALSE
"X10396.6",0,0,339,FALSE
"X10398.110",0,0,463,FALSE
"X10418.36",0,0,993,FALSE
"X10419.1",0,0,706,FALSE
"X10420.30",0,0,467,FALSE
"X10425.3",0,0,633,FALSE
"X10428.1",0,0,577,FALSE
"X10430.31",0,0,403,FALSE
"X10432.3",0,0,321,FALSE
"X10435.2",0,0,314,FALSE
"X10438.19",0,0,989,FALSE
"X10439.57",0,0,729,FALSE
"X10440.26",0,0,962,FALSE
"X10442.1",0,0,565,FALSE
"X10445.20",0,0,914,FALSE
"X10447.18",0,0,711,FALSE
"X10449.31",0,0,646,FALSE
"X10451.11",0,0,993,FALSE
"X10453.7",0,0,237,FALSE
"X10454.99",0,0,354,FALSE
"X10455.196",0,0,455,FALSE
"X10457.3",0,0,812,FALSE
"X10462.14",0,0,529,FALSE
"X10463.23",0,0,836,FALSE
"X10464.6",0,0,580,FALSE
"X10472.53",0,0,785,FALSE
"X10473.2",0,0,356,FALSE
"X10479.18",0,0,769,FALSE
"X10480.33",0,0,557,FALSE
"X10490.3",0,0,907,FALSE
"X10496.11",0,0,613,FALSE
"X10499.1",0,0,602,FALSE
"X10505.12",0,0,696,FALSE
"X10506.53",0,0,657,FALSE
"X10507.166",0,0,386,FALSE
"X10510.62",0,0,346,FALSE
"X10512.13",0,0,385,FALSE
"X10513.13",0,0,488,FALSE
"X10514.5",0,0,996,FALSE
"X10521.10",0,0,993,FALSE
"X10527.22",0,0,224,FALSE
"X10528.2",0,0,485,FALSE
"X10530.8",0,0,529,FALSE
"X10531.18",0,0,530,FALSE
"X10534.40",0,0,533,FALSE
"X10539.30",0,0,544,FALSE
"X10546.2",0,0,703,FALSE
"X10550.37",0,0,418,FALSE
"X10551.7",0,0,557,FALSE
"X10552.88",0,0,459,FALSE
"X10553.8",0,0,885,FALSE
"X10557.6",0,0,923,FALSE
"X10558.26",0,0,991,FALSE
"X10560.1",0,0,401,FALSE
"X10561.5",0,0,471,FALSE
"X10562.42",0,0,959,FALSE
"X10563.13",0,0,345,FALSE
"X10565.19",0,0,996,FALSE
"X10569.28",0,0,991,FALSE
"X10571.14",0,0,434,FALSE
"X10572.65",0,0,974,FALSE
