"Protein","MM","GS"
"X10000.28",-0.224825620922764,0.0305319100754674
"X10001.7",-0.597644671263375,-0.0443377228124553
"X10003.15",-0.0226720981504361,-0.0368390408249379
"X10006.25",0.465805541445628,0.0779460674775771
"X10008.43",-0.0990995572504485,0.0205177601342007
"X10010.10",0.236748509383692,-0.00850252643849528
"X10011.65",0.264961964562623,0.0670437901801239
"X10012.5",0.0308823250177935,-0.00864289210161423
"X10014.31",0.0287347305177616,0.0141329414263233
"X10015.119",0.0541233172772018,0.00519543224760497
"X10022.207",-0.14965137403264,-0.0334074218089126
"X10023.32",-0.210322248452555,0.00018788048585919
"X10024.44",-0.129702865412939,-0.00823330020369926
"X10025.1",-0.438554163270903,0.0307032711458147
"X10030.8",-0.0922689091825153,0.0197180547005799
"X10035.6",-0.0115036964522156,0.00283644500429596
"X10037.98",-0.135755623239369,-0.0183524859282561
"X10039.32",0.00109612884744236,0.0160711174798863
"X10040.63",0.382273373091431,0.0624610072585304
"X10041.3",-0.635389543296816,-0.196335981489596
"X10042.8",0.420877653398794,0.0193047301542388
"X10043.31",0.438202073287348,0.0839788495576947
"X10045.47",0.351542239394574,0.0362849948680882
"X10046.55",-0.202250314027954,-0.0852642216898186
"X10047.12",0.0424669375993024,0.0146114068790761
"X10048.7",0.533670753320195,0.0932091476311926
"X10049.112",0.22424363318434,0.0675090289908723
"X10053.5",0.32296380240821,0.0432553608037266
"X10054.3",-0.449068147011188,-0.0535155753714469
"X10056.5",0.716704978435877,0.118968831855548
"X10058.1",-0.639748427144661,-0.114897731894528
"X10063.10",0.401323193223462,0.0177310378517931
"X10064.12",0.0244322934139138,-0.051247900459027
"X10069.2",0.106060563677437,0.0102724377550684
"X10070.22",0.29345586615296,0.0198793838640672
"X10073.22",0.81606333034189,0.101345645375875
"X10074.128",0.285938837701993,-0.00314875587220404
"X10075.75",-0.161632867252572,-0.0442253881642807
"X10076.1",0.138241357875433,-0.00427710171325266
"X10078.5",0.413797460933908,0.0128567769474355
"X10080.9",0.410764857592024,0.0848816939801578
"X10081.17",0.0122942286873977,-0.0452099933372098
"X10082.251",-0.507658112459002,-0.315776107622739
"X10085.25",-0.392036563624505,-0.0379260341473728
"X10086.39",-0.527280229830555,-0.0840930586348933
"X10087.10",0.305959135438029,0.0633992915803944
"X10088.37",-0.0264157353367611,-0.0319652320748031
"X10089.7",-0.145240863294702,0.0061214397680289
"X10336.3",-0.093548854629917,0.0161194838804766
"X10339.48",-0.550837621792548,-0.000918037227003501
"X10342.55",-0.0871972139921742,-0.0546719748136983
"X10346.5",-0.404557470949353,-0.171568575940841
"X10351.51",-0.337812864985008,0.164594027127862
"X10354.57",-0.43557284641085,-0.168368773939594
"X10356.21",-0.0855068099876159,-0.0487930503039492
"X10361.25",0.215581332798453,0.0400545316706994
"X10362.35",-0.150374070752776,0.0090956763804494
"X10363.13",-0.0456215794732418,0.0281273695606511
"X10364.6",-0.0399726215806114,0.0035236010168449
"X10365.132",-0.244171249634401,-0.00205800151392875
"X10366.11",-0.462461221106825,0.139255574824317
"X10367.62",0.075060143984842,0.0250442943980227
"X10370.21",0.363547875920773,0.0434575161861465
"X10372.18",0.342831164606534,-0.0261946329951809
"X10382.1",-0.177344650000871,-0.161111190778399
"X10390.21",-0.179350374910558,-0.0083385821569788
"X10391.1",-0.235254061211837,-0.198424510161107
"X10396.6",-0.431230899168748,-0.0538899696264975
"X10398.110",-0.0298527612280636,-0.0193456001896339
"X10418.36",-0.694670287025107,-0.0367835391662312
"X10419.1",-0.186941083423825,-0.0340896291861058
"X10420.30",-0.334877223620652,-0.0950372341882587
"X10425.3",0.122046508410882,0.0508683891422642
"X10428.1",-0.266654473861232,-0.116240678041883
"X10430.31",-0.0986772457903003,-0.0278658323721071
"X10432.3",0.00675186033539622,0.0269387981289922
"X10435.2",0.266152198257286,0.0381331009489811
"X10438.19",-0.248907599469967,-0.0392735595273353
"X10439.57",-0.457728930643807,-0.06058638677091
"X10440.26",-0.607642859894922,-0.0276034570529362
"X10442.1",-0.188284120047214,-0.0357724734167736
"X10445.20",-0.172388979765214,-0.0585400564333615
"X10447.18",0.197398715939544,0.0175696546838329
"X10449.31",0.212567704051158,-0.01827394123346
"X10451.11",-0.438452119101723,0.0875680252624648
"X10453.7",-0.129722408145949,0.00408288623210441
"X10454.99",-0.274182727073095,-0.0315483947899296
"X10455.196",0.0625431847691928,0.0118525534890306
